timestep,pX,pY,1_x,2_x,3_x,4_x,5_x,6_x,7_x,8_x,9_x,10_x,1_y,2_y,3_y,4_y,5_y,6_y,7_y,8_y,9_y,10_y,kinetic_energy,energy_lost
57,1.4,-4.277656867465418,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,-4.79299652616918,-5.092401756335557,-5.192153278102872,-5.192153278102872,-5.192153278102872,-4.992627935927186,-4.293398361796658,0.0,99.39517076871063,-3.431620416357603
58,1.4,-4.376574836237656,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,-4.892762249494088,-5.192153278102872,-5.291899033638244,-5.291899033638244,-5.291899033638244,-5.092384781679272,-4.393173545759773,0.0,102.89626040394758,-3.5010896352369514
59,1.4,-4.475463682826768,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,-4.992522535909374,-5.291899033638244,-5.391638913224514,-5.391638913224514,-5.391638913224514,-5.192135970941834,-4.492943842355637,0.0,106.46680373844217,-3.5705433344945874
60,1.4,-4.574322853109657,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,-5.092277275681712,-5.391638913224514,-5.491372807151046,-5.491372807151046,-5.491372807151046,-5.291881393991673,-4.592709141839611,0.0,110.10678494699371,-3.6399812085515464
61,1.4,-4.673160945275431,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,-5.192026359083941,-5.491372807151046,-5.591100605713848,-5.591100605713848,-5.591100605713848,-5.391620941111996,-4.692469334472615,0.0,113.81618789889247,-3.7094029518987526
62,1.4,-4.771974520720584,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,-5.2917696763951785,-5.591100605713848,-5.690822199215695,-5.690822199215695,-5.690822199215695,-5.491354502592533,-4.792224310521244,0.0,117.59499615799093,-3.7788082590984686
63,1.4,-4.870763136220911,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,-5.391507117900948,-5.690822199215695,-5.790537477966247,-5.790537477966247,-5.790537477966247,-5.591081968729658,-4.891973960257895,0.0,121.44319298277654,-3.848196824785603
64,1.4,-4.9695263485799055,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,-5.491238573893294,-5.790537477966247,-5.890246332282168,-5.890246332282168,-5.890246332282168,-5.690803229826511,-4.991718173960883,0.0,125.36076132644558,-3.9175683436690463
65,1.4,-5.068263714629247,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,-5.590963934670909,-5.890246332282168,-5.989948652487255,-5.989948652487255,-5.989948652487255,-5.790518176193118,-5.091456841914561,0.0,129.34768383697875,-3.9869225105331623
66,1.4,-5.1669747912292925,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,-5.690683090539247,-5.989948652487255,-6.089644328912549,-6.089644328912549,-6.089644328912549,-5.890226698146512,-5.191189854409446,0.0,133.40394285721752,-4.05625902023877
67,1.4,-5.265659135269559,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,-5.790395931810649,-6.089644328912549,-6.189333251896458,-6.189333251896458,-6.189333251896458,-5.989928686010849,-5.290917101742335,0.0,137.5295204249424,-4.125577567724889
68,1.4,-5.364316303669215,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,-5.890102348804464,-6.189333251896458,-6.289015311784882,-6.289015311784882,-6.289015311784882,-6.089624030117538,-5.390638474216424,0.0,141.72439827295227,-4.194877848009867
69,1.4,-5.462945853377562,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,-5.989802231847166,-6.289015311784882,-6.38869039893133,-6.38869039893133,-6.38869039893133,-6.189312620805355,-5.490353862141438,0.0,145.98855782914498,-4.264159556192709
70,1.4,-5.5615473413745296,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,-6.089495471272478,-6.38869039893133,-6.488358403697042,-6.488358403697042,-6.488358403697042,-6.288994348420564,-5.59006315583374,0.0,150.32198021659957,-4.33342238745459
71,1.4,-5.6601203246711576,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,-6.189181957421489,-6.488358403697042,-6.588019216451107,-6.588019216451107,-6.588019216451107,-6.38866910331704,-5.689766245616459,0.0,154.72464625365956,-4.402666037059987
72,1.4,-5.758664360310084,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,-6.28886158064278,-6.588019216451107,-6.687672727570587,-6.687672727570587,-6.687672727570587,-6.488336775856387,-5.789463021819609,0.0,159.1965364540176,-4.471890200358047
73,1.4,-5.857179005366035,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,-6.38853423129254,-6.687672727570587,-6.787318827440635,-6.787318827440635,-6.787318827440635,-6.587997256408061,-5.889153374780208,0.0,163.7376310268018,-4.541094572784203
74,1.4,-5.955663816946307,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,-6.488199799734686,-6.787318827440635,-6.886957406454618,-6.886957406454618,-6.886957406454618,-6.6876504353494886,-5.9888371948424,0.0,168.34790987666284,-4.610278849861032
75,1.4,-6.05411835219126,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,-6.587858176340991,-6.886957406454618,-6.986588355014236,-6.986588355014236,-6.986588355014236,-6.787296203066188,-6.088514372357577,0.0,173.027352603863,-4.679442727200154
76,1.4,-6.152542168274798,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,-6.687509251491194,-6.986588355014236,-7.086211563529641,-7.086211563529641,-7.086211563529641,-6.886934449951892,-6.188184797684496,0.0,177.77593850436605,-4.748585900503059
77,1.4,-6.250934822404862,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,-6.787152915573129,-7.086211563529641,-7.185826922419562,-7.185826922419562,-7.185826922419562,-6.986565066408665,-6.287848361189404,0.0,182.5936465699288,-4.817708065562755
78,1.4,-6.349295871823915,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,-6.886789058982843,-7.185826922419562,-7.285434322111421,-7.285434322111421,-7.285434322111421,-7.086187942847026,-6.387504953246156,0.0,187.4804554881938,-4.88680891826499
79,1.4,-6.447624873809427,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,-6.986417572124712,-7.285434322111421,-7.385033653041455,-7.385033653041455,-7.385033653041455,-7.185802969686068,-6.487154464236333,0.0,192.4363436427835,-4.955888154589701
80,1.4,-6.545921385674365,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,-7.086038345411571,-7.385033653041455,-7.484624805654839,-7.484624805654839,-7.484624805654839,-7.285410037353579,-6.586796784549368,0.0,197.46128911339568,-5.024945470612181
81,1.4,-6.644184964767679,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,-7.185651269264824,-7.484624805654839,-7.584207670405804,-7.584207670405804,-7.584207670405804,-7.385009036286162,-6.686431804582664,0.0,202.55526967590026,-5.0939805625045835
82,1.4,-6.742415168474786,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,-7.285256234114572,-7.584207670405804,-7.683782137757755,-7.683782137757755,-7.683782137757755,-7.484599856929355,-6.786059414741715,0.0,207.71826280243727,-5.162993126537003
83,1.4,-6.840611554218063,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,-7.384853130399732,-7.683782137757755,-7.7833480981833985,-7.7833480981833985,-7.7833480981833985,-7.584182389737754,-6.885679505440223,0.0,212.9502456615165,-5.231982859079238
84,1.4,-6.938773679457326,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,-7.4844418485681565,-7.7833480981833985,-7.882905442164855,-7.882905442164855,-7.882905442164855,-7.6837565251751325,-6.985291967100225,0.0,218.25119511811835,-5.300949456601842
85,1.4,-7.036901101690325,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,-7.584022279076752,-7.882905442164855,-7.982454060193786,-7.982454060193786,-7.982454060193786,-7.783322153714558,-7.08489669015221,0.0,223.62108773379558,-5.36989261567723
86,1.4,-7.134993378453223,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,-7.683594312391603,-7.982454060193786,-8.08199384277151,-8.08199384277151,-8.08199384277151,-7.882879165838519,-7.184493565035237,0.0,229.0598997667772,-5.438812032981616
