,V_Y,m,Energy Lost
335,800.01,50.0,0.0
336,800.01,40.0,0.0
337,800.01,30.0,0.0
338,800.01,20.0,0.0
339,800.01,10.0,0.0
340,850.01,200.0,0.0
341,850.01,190.0,0.0
342,850.01,180.0,0.0
343,850.01,170.0,0.0
344,850.01,160.0,0.0
345,850.01,150.0,0.0
346,850.01,140.0,0.0
347,850.01,130.0,0.0
348,850.01,120.0,0.0
349,850.01,110.0,0.0
350,850.01,100.0,0.0
351,850.01,90.0,0.0
352,850.01,80.0,0.0
353,850.01,70.0,0.0
354,850.01,60.0,0.0
355,850.01,50.0,0.0
356,850.01,40.0,0.0
357,850.01,30.0,0.0
358,850.01,20.0,0.0
359,850.01,10.0,0.0
360,900.01,200.0,0.0
361,900.01,190.0,0.0
362,900.01,180.0,0.0
363,900.01,170.0,0.0
364,900.01,160.0,0.0
365,900.01,150.0,0.0
366,900.01,140.0,0.0
367,900.01,130.0,0.0
368,900.01,120.0,0.0
369,900.01,110.0,0.0
370,900.01,100.0,0.0
371,900.01,90.0,0.0
372,900.01,80.0,0.0
373,900.01,70.0,0.0
374,900.01,60.0,0.0
375,900.01,50.0,0.0
376,900.01,40.0,0.0
377,900.01,30.0,0.0
378,900.01,20.0,0.0
379,900.01,10.0,0.0
380,950.01,200.0,0.0
381,950.01,190.0,0.0
382,950.01,180.0,0.0
383,950.01,170.0,0.0
384,950.01,160.0,0.0
385,950.01,150.0,0.0
386,950.01,140.0,0.0
387,950.01,130.0,0.0
388,950.01,120.0,0.0
389,950.01,110.0,0.0
390,950.01,100.0,0.0
391,950.01,90.0,0.0
392,950.01,80.0,0.0
393,950.01,70.0,0.0
394,950.01,60.0,0.0
395,950.01,50.0,0.0
396,950.01,40.0,0.0
397,950.01,30.0,0.0
398,950.01,20.0,0.0
399,950.01,10.0,0.0
